ID,Method,Task,Accuracy,Macro F1,Weighted F1,Parse Err
1a,Zero-Shot,3-class clarity,0.25,0.258,0.2993,0
2a,CoT,3-class clarity,0.2273,0.1897,0.2432,0
3a,CoT + Table,3-class clarity,0.5877,0.3669,0.5422,0
4a,CoT + Table + RAG,3-class clarity,0.5779,0.3565,0.5293,0
5a,CoT + Table + Tone,3-class clarity,0.6667,0.3841,0.6093,2
1b,Zero-Shot,9-class evasion,0.1266,0.1178,0.0971,0
2b,CoT,9-class evasion,0.1498,0.1694,0.1234,1
3b,CoT + Table,9-class evasion,0.1661,0.1546,0.1605,1
4b,CoT + Table + RAG,9-class evasion,0.1889,0.1414,0.1623,1
5b,CoT + Table + Tone,9-class evasion,0.1461,0.1156,0.1438,0
1c,Zero-Shot,Mapping (Evasion->Clarity),0.6786,0.4073,0.5842,0
2c,CoT,Mapping (Evasion->Clarity),0.6808,0.3972,0.5778,1
3c,CoT + Table,Mapping (Evasion->Clarity),0.5545,0.3716,0.5463,5
4c,CoT + Table + RAG,Mapping (Evasion->Clarity),0.602,0.3962,0.5836,4
5c,CoT + Table + Tone,Mapping (Evasion->Clarity),0.6851,0.403,0.6086,0
